City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
41,leua,48.2156,18.6071,26.39,54,100,3.02,SK,1712494951
42,smiths falls,44.9001,-76.0161,6.03,80,4,3.15,CA,1712494954
43,iskateley,67.6803,53.1512,-5.55,88,100,6.26,RU,1712494958
44,dryden,49.7833,-92.7503,0.16,47,20,3.6,CA,1712494812
45,thayetmyo,19.3167,95.1833,36.42,28,0,5.23,MM,1712494966
46,hasaki,35.7333,140.8333,16.27,92,100,3.6,JP,1712494970
47,nicoya,10.1483,-85.452,26.37,77,100,2.59,CR,1712494974
48,saudarkrokur,65.7461,-19.6394,-1.08,86,100,13.09,IS,1712494829
49,huilong,31.8111,121.655,9.99,89,100,3.76,CN,1712494892
50,constitucion,-35.3333,-72.4167,15.5,63,23,1.77,CL,1712494826
